PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
121,2,1,70,904,31,
130,1,1,54,901,31,
175,1,1,28,901,31,
96,1,2,23,904,31,
117,1,1,51,903,31,
130,2,1,48,903,31,
100,1,1,18,903,31,
311,1,1,46,904,31,
317,2,1,44,904,31,
372,2,1,21,904,31,
113,1,1,28,902,31,
122,1,1,51,901,31,
123,2,1,46,901,31,
113,1,1,44,901,31,
130,2,1,45,901,31,
130,2,1,19,903,31,
111,1,2,57,903,31,
138,1,2,18,903,31,
169,2,2,44,903,31,
123,2,1,36,902,31,
82,1,1,32,902,31,
119,2,1,22,901,31,
117,1,1,25,901,31,
170,1,1,53,901,31,
147,2,1,42,901,31,
94,1,1,28,901,31,
88,2,1,28,901,31,
94,1,1,22,901,31,
114,2,1,83,904,31,
150,1,1,36,901,31,
301,2,6,34,901,31,
100,2,1,64,903,31,
167,1,1,45,903,31,
122,2,1,48,901,31,
94,1,1,63,901,31,
72,1,1,19,901,31,
176,2,1,21,904,31,
82,1,1,20,904,31,
139,2,1,72,901,31,
97,2,1,25,903,31,
140,1,1,20,903,31,
114,1,1,88,902,31,
107,2,1,87,902,31,
322,2,1,48,904,31,
372,2,1,36,904,31,
445,2,9,23,903,31,
209,1,9,24,903,31,
130,2,1,42,902,31,
402,2,8,32,903,31,
468,1,8,26,903,31,
70,1,1,32,902,31,
95,2,1,29,902,31,
106,2,1,29,901,31,
95,1,1,30,901,31,
112,2,1,58,904,31,
135,1,1,39,904,31,
127,2,1,33,904,31,
118,2,1,30,903,31,
146,1,2,43,903,31,
196,1,2,80,903,31,
113,2,1,76,902,31,
299,2,2,47,903,31,
375,1,2,65,903,31,
414,2,9,47,901,31,
29,1,1,36,901,31,
27,2,1,37,901,31,
95,1,1,55,901,31,
88,2,1,55,901,31,
28,2,1,57,901,31,
216,1,1,52,904,31,
133,2,1,51,904,31,
99,1,1,22,904,31,
75,1,1,19,904,31,
122,1,1,54,902,31,
297,1,1,27,901,31,
470,1,1,25,901,31,
131,2,1,94,903,31,
271,2,2,52,903,31,
505,1,2,40,903,31,
162,2,1,80,904,31,
99,1,2,61,903,31,
103,1,1,55,901,31,
94,2,1,55,901,31,
248,1,6,21,901,31,
65,1,1,24,901,31,
109,1,1,40,902,31,
98,2,1,34,902,31,
169,2,1,35,902,31,
173,2,1,68,902,31,
130,1,1,40,901,31,
105,1,1,38,901,31,
72,2,1,39,901,31,
105,1,1,24,901,31,
142,2,2,33,901,31,
98,1,1,27,902,31,
110,2,1,25,902,31,
117,2,2,57,902,31,
73,1,1,32,902,31,
93,2,1,30,902,31,
142,1,1,40,903,31,
146,2,1,37,903,31,
116,2,1,45,903,31,
80,1,1,47,904,31,
115,2,1,42,904,31,
117,2,1,18,903,31,
114,2,1,62,904,31,
129,1,1,63,904,31,
108,2,1,37,902,31,
113,2,1,77,901,31,
89,2,1,19,902,31,
129,2,1,18,902,31,
391,2,1,47,902,31,
98,1,1,66,904,31,
123,2,1,94,902,31,
108,2,1,72,903,31,
84,1,1,45,903,31,
89,2,1,45,903,31,
88,1,1,21,903,31,
90,1,1,20,903,31,
143,2,1,51,901,31,
75,1,1,56,904,31,
109,2,1,52,902,31,
177,2,1,37,902,31,
96,2,2,64,903,31,
80,1,1,34,901,31,
97,2,1,30,901,31,
98,2,1,48,904,31,
108,2,1,49,904,31,
60,2,2,77,903,31,
129,1,1,70,901,31,
123,2,1,67,901,31,
393,1,1,51,902,31,
448,2,1,26,902,31,
241,1,1,18,902,31,
257,1,2,46,904,31,
125,1,1,64,902,31,
113,2,1,57,902,31,
173,1,1,28,902,31,
194,2,1,27,902,31,
107,2,1,50,902,31,
135,1,1,51,902,31,
112,2,1,94,902,31,
154,1,1,51,901,31,
121,1,1,57,901,31,
154,2,1,50,901,31,
172,1,1,45,903,31,
107,2,1,30,901,31,
85,1,1,31,901,31,
95,2,2,40,903,31,
141,1,2,39,903,31,
96,1,1,24,904,31,
121,1,1,61,904,31,
131,1,1,20,904,31,
115,1,1,73,903,31,
114,2,1,73,903,31,
103,2,1,57,902,31,
95,2,1,50,903,31,
75,1,1,58,903,31,
112,1,1,36,902,31,
118,2,1,63,902,31,
118,1,1,26,902,31,
197,2,9,27,902,31,
59,1,1,18,903,31,
175,2,1,50,903,31,
81,1,1,41,903,31,
87,2,1,39,903,31,
127,2,2,28,903,31,
93,2,1,32,904,31,
106,2,1,28,902,31,
82,1,1,32,902,31,
98,1,1,45,901,31,
123,2,1,21,901,31,
138,2,1,18,901,31,
32,2,1,49,902,31,
32,2,1,19,902,31,
104,2,1,83,901,31,
187,2,1,54,901,31,
92,1,1,58,902,31,
98,1,1,77,902,31,
89,2,1,75,902,31,
146,1,1,49,902,31,
143,1,1,39,901,31,
145,2,1,39,901,31,
174,2,1,66,902,31,
214,2,1,94,902,31,
65,2,2,83,903,31,
157,2,2,43,903,31,
201,1,2,53,903,31,
114,1,1,71,904,31,
152,2,1,67,904,31,
144,1,1,26,901,31,
144,2,1,23,901,31,
160,1,1,28,903,31,
389,2,2,40,904,31,
102,2,1,37,901,31,
97,1,1,38,901,31,
463,2,2,44,901,31,
89,2,1,54,903,31,
80,1,1,54,903,31,
118,1,1,76,902,31,
79,2,1,37,901,31,
115,2,1,55,901,31,
127,1,1,48,901,31,
99,1,2,45,901,31,
109,2,1,43,901,31,
36,1,1,24,901,31,
54,1,1,24,901,31,
137,1,1,33,901,31,
167,2,1,32,901,31,
79,1,2,59,903,31,
99,2,2,61,903,31,
105,1,1,49,901,31,
130,2,1,52,901,31,
149,1,1,31,901,31,
106,1,1,83,904,31,
144,1,1,42,901,31,
146,2,1,40,901,31,
187,1,1,50,902,31,
146,2,1,46,902,31,
121,1,1,18,902,31,
98,1,1,44,902,31,
89,2,1,45,902,31,
431,2,2,22,903,31,
86,1,1,55,904,31,
91,1,1,25,902,31,
97,1,1,62,902,31,
114,2,1,77,904,31,
111,1,1,77,904,31,
88,1,9,32,901,31,
65,2,1,43,901,31,
89,2,9,39,901,31,
161,1,2,38,901,31,
115,1,1,49,902,31,
104,2,1,48,902,31,
103,2,1,18,902,31,
90,2,1,61,902,31,
358,1,1,44,903,31,
352,2,1,30,901,31,
58,1,1,21,901,31,
83,1,1,29,901,31,
80,2,1,29,901,31,
86,2,1,58,902,31,
94,1,1,57,902,31,
95,2,1,22,901,31,
122,2,1,41,902,31,
113,1,1,44,902,31,
103,2,2,22,904,31,
96,1,1,83,901,31,
108,2,1,82,901,31,
91,1,1,48,904,31,
154,2,1,77,901,31,
134,1,1,81,901,31,
100,2,1,29,904,31,
158,1,1,65,901,31,
130,2,1,64,901,31,
207,1,1,30,901,31,
112,1,1,25,902,31,
113,2,1,22,902,31,
247,1,9,22,901,31,
398,1,9,20,901,31,
219,2,9,18,901,31,
158,1,1,43,902,31,
170,2,1,42,902,31,
457,2,1,37,901,31,
441,1,1,38,901,31,
87,2,1,63,901,31,
111,2,1,46,901,31,
89,1,1,45,901,31,
292,1,1,21,902,31,
292,1,1,23,902,31,
162,1,1,54,902,31,
108,2,1,56,902,31,
92,1,1,84,901,31,
103,2,1,80,901,31,
138,2,1,56,901,31,
112,2,1,38,901,31,
